,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
Chromebook 11,,,,,,,,Samsung,Exynos ,Verizon Wireless,,,Netbook,Chrome OS,,11 inches,,0.69 inches,,2.3 pounds,,6 hr,,,,,,,,,,,,,,,,,Optional,Optional,"5GHz, 2.4GHz",Yes,4.0,,Verizon Wireless,,,Optional,,,,Yes,"802.11n, 802.11g, 802.11b, 802.11a",,,,,,,142,1366 px,768 px,11 inches,IPS LCD,,,,,,,,,,,,,,,,,,,,,,,,"White / Blue, Black, White / Yellow, White / Green, White / Red",7.68 inches,Netbook,0.69 inches,2.3 pounds,11.69 inches,,,Chiclet,2 GB,,2 GB,,DDR3,,,Trackpad,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,Samsung,Exynos ,1.7 GHz,,5250,,,,,,,,HP,Chromebook 11,http://www.theverge.com/products/chromebook-11/7376,,,,,,,Chrome OS,16 GB,Flash (SSD),,,,,16 GB,Flash Memory (SSD),,,VGA
XPS 15 (2013),,,2,,,,,Intel,Haswell,,Integrated,HD Graphics 4400,Mainstream,Windows 8,,15.6 inches,,.7 inches,Capacitive,4.4 pounds,Lithium Ion (Li-Ion),,No,61 Wh,,,,,,,,,,,,,,,,,"5GHz, 2.4GHz",Yes,4.0,,,,,,Yes,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,Yes,141,1920 px,1080 px,15.6 inches,IPS LCD,Capacitive,,LED,Yes,235,3200 px,1800 px,15.6 inches,IPS LCD,Capacitive,,,,Integrated,Intel,HD Graphics 4400,,2 GB,Nvidia,GeForce GT 750M,,,,Black / Silver,10 inches,Mainstream,.7 inches,4.4 pounds,14.6 inches,Yes,,Chiclet,8 GB,1600 MHz,16 GB,2,DDR3,,,Trackpad,,,,,,1,,,,,,,,1,,,,1,,,,,1,,,,,,1,3,,,Intel,Haswell,2.8 GHz,2,Core i5-4200H,3.4 GHz,Intel,2.2 GHz,4,Haswell,Core i7-4702HQ,3.2 GHz,Dell,XPS 15 (2013),http://www.theverge.com/products/xps-15-2013/7368,,,,,,,Windows 8,532 GB,Hybrid,Yes,SD,1032 GB,,512 GB,,,,720p
Spectre 13 x2,,,,,,,,Intel,Haswell,,,,,Windows 8,,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920 px,1080 px,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Haswell,,,i3,,Intel,,,Haswell,i5,,HP,Spectre 13 x2,http://www.theverge.com/products/spectre-13-x2/7341,,,,,,,Windows 8,128 GB,,,microSD,,,,,,,
Pavilion 13 x2,,,,,,,,Intel,Haswell,,,,,Windows 8,,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,1366 px,768 px,13.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,Haswell,,,,,AMD,,,A6,,,HP,Pavilion 13 x2,http://www.theverge.com/products/pavilion-13-x2/7340,,,,,,,Windows 8,64 GB,,,,,,,,2 megapixels,,
Pavilion 11 x2,,,,,,,,,,,,,,Windows 8,,11.6 inches,,,,3.5 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,1366 px,768 px,11.6 inches,IPS LCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 pounds,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,HP,Pavilion 11 x2,http://www.theverge.com/products/pavilion-11-x2/7339,,,,,,,Windows 8,64 GB,,,"SD, microSD",128 GB,,,,2 megapixels,,
Spectre 13 Ultrabook,,,,,,,,Intel,Haswell,,,,Ultraportable,Windows 8,,13 inches,,,,,,9 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,1920 px,1080 px,13 inches,,,,,,,2560 px,1440 px,13 inches,,Capacitive,,,,,,,,,,,,,,,,Ultraportable,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,2,,,Intel,Haswell,,,Core i5,,Intel,,,Haswell,Core i7,,HP,Spectre 13 Ultrabook,http://www.theverge.com/products/spectre-13-ultrabook/7338,,,,,,,Windows 8,,,,SD,,,,,,,
Envy 17 Leap Motion SE,,,,,,,,Intel,,,,,,Windows 8,Tray-loading,17.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,,,,,,,17.3 inches,,,,,,,1920 px,1080 px,17 inches,,Capacitive,,,,,,,,,,,,,,Silver / Black,,,,,,,Yes,Chiclet,,,,,,,,,DVD±R/RW,Tray-loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel,,,,Core i5,,,,,,,,HP,Envy 17 Leap Motion SE,http://www.theverge.com/products/envy-17-leap-motion-se/7337,,,,,,,Windows 8,,,,,,,,,,,
Inspiron 11 3000 series,,Waves MaxxAudio Pro,2,,,,,Intel,Haswell,,Integrated,HD Graphics 4400,Budget,Windows 8,,11.6 inches,,0.83 inches,Capacitive,3.15 pounds,,8.3 hr,,50 Wh,,,,,,,,,,,,,,,,,,Yes,4.0,,,,,,,,,Yes,,,,,LED,,Yes,135,1366 px,768 px,11.6 inches,,Capacitive,,,,,,,,,,,,,Integrated,Intel,HD Graphics 4400,,,AMD,Radeon HD 8210,,,,White / Black,7.93 inches,Budget,0.83 inches,3.15 pounds,11.81 inches,No,No,Chiclet,,1600 GHz,4 GB,,DDR3,Yes,,Trackpad,,,,,,,,,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,1,2,,,Intel,Haswell,1.4 GHz,2,Celeron 2955U,,,,,,,,Dell,Inspiron 11 3000 series,http://www.theverge.com/products/inspiron-11-3000-series/7332,,,,,,,Windows 8,,,Yes,,500 MB,,,HDD (Unspecified RPM),,,720p
ThinkPad S440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,ThinkPad S440,http://www.theverge.com/products/thinkpad-s440/7308,,,,,,,,,,,,,,,,,,
ThinkPad X240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lenovo,ThinkPad X240,http://www.theverge.com/products/thinkpad-x240/7307,,,,,,,,,,,,,,,,,,
